height_m,radar1_fraction,radar2_fraction,dual_before_bca_fraction,bca_ge_20_fraction,bca_rejected_fraction_of_dual,dual_count,bca_ge_20_count,level_cells
500.0,0.34105591445756295,0.2667013192742754,0.025667681493032352,0.010965075121902923,0.5728061716489874,1037,443,40401
1263.157894736842,0.3482834583302393,0.2825672631865548,0.03145961733620455,0.01487586940917304,0.5271439811172305,1271,601,40401
2026.3157894736842,0.3502388554738744,0.29949753718967353,0.037350560629687383,0.019974753100170786,0.4652087475149106,1509,807,40401
2789.4736842105262,0.34105591445756295,0.2866760723744462,0.03952872453652137,0.02230142818247073,0.43581715716969316,1597,901,40401
3552.6315789473683,0.22959827727036458,0.24383059825251852,0.04274646667161704,0.0253954110046781,0.4059061957151129,1727,1026,40401
4315.78947368421,0.15957525803816738,0.22447464171678919,0.04445434518947551,0.027177545110269548,0.388641425389755,1796,1098,40401
5078.9473684210525,0.14509541843023688,0.19073785302344,0.04433058587658721,0.027103289522536572,0.3886097152428811,1791,1095,40401
5842.105263157895,0.12388307220118314,0.14009554218954975,0.029627979505457785,0.01947971584861761,0.34252297410192145,1197,787,40401
6605.263157894737,0.08106234994183312,0.07658226281527684,0.006534491720501968,0.004009801737580753,0.38636363636363635,264,162,40401
7368.421052631578,0.021930150243805846,0.017450063117249573,0.0011138338159946536,0.00019801490062127175,0.8222222222222222,45,8,40401
8131.578947368421,0.0009900745031063587,0.001534615479814856,0.0,0.0,nan,0,0,40401
8894.736842105263,0.00019801490062127175,0.0,0.0,0.0,nan,0,0,40401
9657.894736842105,0.0,0.0,0.0,0.0,nan,0,0,40401
10421.052631578947,0.0,0.0,0.0,0.0,nan,0,0,40401
11184.21052631579,0.0,0.0,0.0,0.0,nan,0,0,40401
11947.368421052632,0.0,0.0,0.0,0.0,nan,0,0,40401
12710.526315789473,0.0,0.0,0.0,0.0,nan,0,0,40401
13473.684210526315,0.0,0.0,0.0,0.0,nan,0,0,40401
14236.842105263157,0.0,0.0,0.0,0.0,nan,0,0,40401
15000.0,0.0,0.0,0.0,0.0,nan,0,0,40401
