K,start_index,common_count,uncorrected_normalized_singular_values,corrected_normalized_singular_values,uncorrected_s2_over_s1,corrected_s2_over_s1,uncorrected_rank1_residual_energy,corrected_rank1_residual_energy
3,0,2244,1;0.2447376245;0.1436324924,1;0.2292224347;0.111565781,0.24473762453191966,0.22922243470710774,0.07452549803470111,0.06102391320945545
3,1,4064,1;0.2725661236;0.1266173632,1;0.3066202628;0.1081594332,0.27256612361615856,0.3066202628191333,0.08284163956830312,0.09560736834348038
3,2,4647,1;0.2327617715;0.09473615382,1;0.2771562048;0.08466001276,0.23276177153469982,0.27715620479476577,0.05940159342067604,0.0774762048334108
3,3,5488,1;0.1827137737;0.08542503406,1;0.1947903793;0.07583890329,0.18271377373100375,0.19479037934138274,0.03909145056239985,0.041865524128969225
4,0,1658,1;0.2629750267;0.1904460423;0.09095486939,1;0.2552134984;0.1721357388;0.07177002116,0.2629750266547161,0.25521349835471163,0.10209079338388444,0.09083931550054485
4,1,3299,1;0.3014178704;0.1560195217;0.07502459881,1;0.3654654717;0.1340392624;0.06687682497,0.3014178703869586,0.36546547172428256,0.10779887523759403,0.13495112352307415
4,2,3926,1;0.2382392808;0.1366546986;0.06289907476,1;0.2925294241;0.1055759807;0.06007007013,0.2382392807717919,0.29252942405048726,0.07354973338761919,0.0911802207428016
5,0,1266,1;0.295606331;0.2214035241;0.1279355683;0.05961089134,1;0.2940399229;0.1993170826;0.09626465031;0.04058041366,0.29560633096861044,0.2940399228760421,0.13519017733202546,0.12057020213486722
5,1,2763,1;0.3045328441;0.2015372239;0.09998323885;0.05286757117,1;0.3860184;0.1621338103;0.0813996076;0.05437917427,0.30453284405243053,0.38601840000634646,0.12751319137629563,0.15603308319575698
