pair_index,source_midpoint_utc,target_midpoint_utc,fair_common_count,uncorrected_u_l2,uncorrected_u_rmse,uncorrected_v_l2,uncorrected_v_rmse,uncorrected_w_l2,uncorrected_w_rmse,uncorrected_vector_l2,uncorrected_vector_rmse,corrected_u_l2,corrected_u_rmse,corrected_v_l2,corrected_v_rmse,corrected_w_l2,corrected_w_rmse,corrected_vector_l2,corrected_vector_rmse,u_relative_reduction,v_relative_reduction,w_relative_reduction,vector_relative_reduction
0,2026-05-11T07:09:34Z,2026-05-11T07:14:51Z,2868,394.7863102036572,7.371782463019679,239.9696980823086,4.480916298912997,129.22293128225044,2.412959401137983,479.7293535850291,8.957910505887453,384.9855000737198,7.188773482282764,215.33790976822021,4.020970803252474,129.40682658520063,2.416393249106573,459.7068385582386,8.584033242859007,0.024825607870955557,0.10264541111203052,-0.0014230856793406854,0.041737106302046745
1,2026-05-11T07:14:51Z,2026-05-11T07:20:08.500000Z,5093,215.3228525313048,3.017194354929887,208.50941696210293,2.9217216306212332,157.44500826222347,2.2061856628599417,338.5691043358589,4.744172661409947,243.33182909773046,3.409667912613676,173.06506270296535,2.4250604340617214,144.96652196438163,2.031331865535087,331.92949171605403,4.651135617362408,-0.13007897785653566,0.16998922530956806,0.07925615702632516,0.0196108048099346
2,2026-05-11T07:20:08.500000Z,2026-05-11T07:25:41.500000Z,5508,199.58870778018502,2.689298443981177,186.8300159491746,2.517385260765618,107.98804762705466,1.4550527015378332,293.94306517289357,3.9606480576001832,249.56354034181734,3.3626694023934873,183.51079447961718,2.4726614022237774,118.78547455098904,1.6005394064145306,331.76522018256503,4.470271391238613,-0.25038907820712786,0.0177659968217333,-0.0999872408215412,-0.1286717037785019
3,2026-05-11T07:25:41.500000Z,2026-05-11T07:30:58.500000Z,6179,179.04192481780697,2.2776953782355984,157.4300465769527,2.002758235807779,105.93641595102756,1.3476781220043124,260.8883949742416,3.3189114341393267,218.1568427606738,2.7752987630807535,138.64669135573726,1.7638043627489657,108.10518424603168,1.375268271780805,280.18216204474345,3.5643585501148456,-0.21846792578146257,0.11931239067527066,-0.02047235858920038,-0.07395410237548816
4,2026-05-11T07:30:58.500000Z,2026-05-11T07:36:15Z,6986,198.46956110174239,2.3745407042718107,167.02919290979546,1.9983800798685591,134.76895751742768,1.612410354116519,292.32103906210745,3.4974038442709605,215.71726202917353,2.5808966194052996,155.84854861367373,1.8646119854880028,124.4019334021487,1.4883766201411714,293.7661455589197,3.514693468834241,-0.08690350717604178,0.06693826451140106,0.07692442166393076,-0.0049435596611477894
