mask,K,start_index,height_m,union_count,intersection_count,intersection_fraction_of_level
observation_samples,3,1,10421.052631578947,0,0,0.0
observation_samples,3,1,11184.21052631579,0,0,0.0
observation_samples,3,1,11947.368421052632,0,0,0.0
observation_samples,3,1,12710.526315789473,0,0,0.0
observation_samples,3,1,13473.684210526315,0,0,0.0
observation_samples,3,1,14236.842105263157,0,0,0.0
observation_samples,3,1,15000.0,0,0,0.0
observation_samples,3,2,500.0,27052,23677,0.2930249251256157
observation_samples,3,2,1263.157894736842,27864,24651,0.3050790822009356
observation_samples,3,2,2026.3157894736842,28539,25324,0.3134080839583179
observation_samples,3,2,2789.4736842105262,27954,23816,0.294745179574763
observation_samples,3,2,3552.6315789473683,21468,17418,0.21556397118883197
observation_samples,3,2,4315.78947368421,17675,14738,0.18239647533476894
observation_samples,3,2,5078.9473684210525,16074,13221,0.1636221875696146
observation_samples,3,2,5842.105263157895,12707,10121,0.1252568005742432
observation_samples,3,2,6605.263157894737,7899,5626,0.06962698943095467
observation_samples,3,2,7368.421052631578,2347,1157,0.014318952501175713
observation_samples,3,2,8131.578947368421,143,38,0.0004702853889755204
observation_samples,3,2,8894.736842105263,2,0,0.0
observation_samples,3,2,9657.894736842105,0,0,0.0
observation_samples,3,2,10421.052631578947,0,0,0.0
observation_samples,3,2,11184.21052631579,0,0,0.0
observation_samples,3,2,11947.368421052632,0,0,0.0
observation_samples,3,2,12710.526315789473,0,0,0.0
observation_samples,3,2,13473.684210526315,0,0,0.0
observation_samples,3,2,14236.842105263157,0,0,0.0
observation_samples,3,2,15000.0,0,0,0.0
observation_samples,3,3,500.0,27213,23994,0.29694809534417466
observation_samples,3,3,1263.157894736842,27983,24962,0.3089279968317616
observation_samples,3,3,2026.3157894736842,28525,25641,0.3173312541768768
observation_samples,3,3,2789.4736842105262,27927,24173,0.2991633870448751
observation_samples,3,3,3552.6315789473683,21591,17830,0.2206628548798297
observation_samples,3,3,4315.78947368421,17843,15171,0.1877552535828321
observation_samples,3,3,5078.9473684210525,16366,13717,0.16976064948887404
observation_samples,3,3,5842.105263157895,13027,10454,0.12937798569342343
observation_samples,3,3,6605.263157894737,8035,5801,0.07179277740649984
observation_samples,3,3,7368.421052631578,2379,1130,0.013984802356377318
observation_samples,3,3,8131.578947368421,163,37,0.0004579094576866909
observation_samples,3,3,8894.736842105263,24,0,0.0
observation_samples,3,3,9657.894736842105,8,0,0.0
observation_samples,3,3,10421.052631578947,0,0,0.0
observation_samples,3,3,11184.21052631579,0,0,0.0
observation_samples,3,3,11947.368421052632,0,0,0.0
observation_samples,3,3,12710.526315789473,0,0,0.0
