window,K,representation,domain,mode,index,singular_value,normalized_singular_value,cumulative_energy,effective_rank,rank_90,rank_95,rank_99
K3_T2-4,3,storm_relative,A_common_dense,x,6,2.7529158974785415,0.007674997287498527,0.9999293360193453,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,7,2.405646342833777,0.0067068264500346605,0.9999677359295912,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,8,1.3903237760833533,0.003876155904347827,0.9999805621454839,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,9,1.121009371987752,0.003125320282085911,0.999988900591725,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,10,0.9752066392197194,0.00271882926667586,0.9999952110361287,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,11,0.662639508986169,0.0018474071215602201,0.9999981245782381,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,12,0.42093879715586396,0.0011735571469267275,0.9999993003000024,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,13,0.2553984286369702,0.000712038551128826,0.9999997331157842,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,x,14,0.2005525192057732,0.0005591307901251653,1.0000000000000002,1.6003405233398227,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,y,1,373.2724605305291,1.0,0.9245247571920442,1.3317520064537303,1,2,2
K3_T2-4,3,storm_relative,A_common_dense,y,2,103.35315074984034,0.276883943173695,0.9954031869745547,1.3317520064537303,1,2,2
K3_T2-4,3,storm_relative,A_common_dense,y,3,25.089508213506097,0.06721499940779607,0.9995800568304,1.3317520064537303,1,2,2
K3_T2-4,3,storm_relative,A_common_dense,y,4,7.399835732675228,0.019824220951521317,0.9999433948162114,1.3317520064537303,1,2,2
K3_T2-4,3,storm_relative,A_common_dense,y,5,2.655070972179896,0.007112957029849631,0.9999901703675822,1.3317520064537303,1,2,2
K3_T2-4,3,storm_relative,A_common_dense,y,6,1.1444974414865605,0.003066118083985879,0.9999988618988835,1.3317520064537303,1,2,2
K3_T2-4,3,storm_relative,A_common_dense,y,7,0.4141494620201181,0.0011095098240879889,0.9999999999999999,1.3317520064537303,1,2,2
K3_T2-4,3,storm_relative,A_common_dense,z,1,367.1592165438006,1.0,0.8944900525142173,1.4089792895585829,2,2,2
K3_T2-4,3,storm_relative,A_common_dense,z,2,125.47631059698355,0.34174904222243524,0.9989596995541276,1.4089792895585829,2,2,2
K3_T2-4,3,storm_relative,A_common_dense,z,3,12.52039084124352,0.034100712380591675,0.999999864990769,1.4089792895585829,2,2,2
K3_T2-4,3,storm_relative,A_common_dense,z,4,0.14264232487063458,0.0003885026398448531,1.0,1.4089792895585829,2,2,2
K3_T2-4,3,storm_relative,A_common_dense,z,5,3.560684107808543e-06,9.697929256213476e-09,1.0,1.4089792895585829,2,2,2
K3_T2-4,3,storm_relative,A_common_dense,time,1,378.73905556441446,1.0,0.9518024754915708,1.2340318187673405,1,1,2
K3_T2-4,3,storm_relative,A_common_dense,time,2,80.21649727282254,0.2117988522553614,0.9944991484217618,1.2340318187673405,1,1,2
K3_T2-4,3,storm_relative,A_common_dense,time,3,28.792650159252727,0.07602239519857436,1.0,1.2340318187673405,1,1,2
K3_T2-4,3,storm_relative,A_common_dense,component,1,359.9265080716422,1.0,0.8595958542312416,1.5614577403179912,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,component,2,139.35016710141585,0.3871628345686577,0.9884450267820589,1.5614577403179912,2,2,3
K3_T2-4,3,storm_relative,A_common_dense,component,3,41.730265562299444,0.11594107304259227,1.0,1.5614577403179912,2,2,3
K3_T3-5,3,eulerian,A_common_dense,x,1,302.5784017639574,1.0,0.7102773463800576,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,2,157.66239211850746,0.521062941701637,0.9031223260922203,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,3,108.07371210458274,0.3571758971378647,0.9937356897140088,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,4,23.686881945060914,0.0782834525100676,0.998088481620731,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,5,12.803199106614528,0.04231365831789393,0.999360194627332,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,6,6.797058777604675,0.022463793641514067,0.9997186162200096,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,7,4.392876871278796,0.014518144208804753,0.999868326001112,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,8,2.628645265402284,0.008687484797586116,0.9999219323315036,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,9,2.16729232908505,0.00716274630459501,0.9999583730643246,2.2606535864354087,2,3,3
