window,K,representation,domain,rank_name,ranks,shape,raw_dof,tucker_parameters,parameter_fraction,compression_factor,completion_iterations,relative_frobenius_error,rmse_u_m_s,nrmse_u,rmse_v_m_s,nrmse_v,rmse_w_m_s,nrmse_w,reference_max_speed_m_s,estimate_max_speed_m_s,max_speed_preservation,reference_zeta_max_s-1,estimate_zeta_max_s-1,zeta_preservation,reference_circulation_m2_s-1,estimate_circulation_m2_s-1,circulation_preservation,reference_cyclonic_circulation_m2_s-1,estimate_cyclonic_circulation_m2_s-1,cyclonic_circulation_preservation,circulation_region_coverage,centre_shift_m,reference_column_depth_m,estimate_column_depth_m,column_depth_preservation,observed_fraction,observed_scalar_count,fit_scalar_count,holdout_scalar_count,holdout_fraction_of_observed,parameters_per_observed_scalar,parameters_per_fit_scalar,holdout_relative_frobenius_error,missing_truth_available,holdout_rmse_u_m_s,holdout_rmse_v_m_s,holdout_rmse_w_m_s
K3_T1-3,3,storm_relative,B_structured_missing,compact_rt_full,"[12, 20, 5, 3, 3]","[48, 79, 9, 3, 3]",307152,13019,0.04238618013231234,23.59259543743759,6,0.040996254417743606,0.436924721840256,0.03369994535965043,0.43960211363403323,0.05332273714787944,0.13940660898144472,0.06910047383542296,37.21547751910364,37.59163055051867,1.0101074353062363,0.0031457184255133937,0.0031468196842965104,1.000350081804584,1207.4883472283739,-13009.523775269021,-10.774036706135195,129530.03755974007,121317.21591437882,0.9365952345873948,0.30618892508143325,2121.3203435596424,2289.4736842105262,2289.4736842105262,1.0,0.10428387248007501,32031,28818,3213,0.10030907558302894,0.4064500015609878,0.4517662572003609,0.07453187807855324,False,0.9825099695015527,0.8258933417501301,0.1899982284316235
K3_T1-3,3,storm_relative,B_structured_missing,moderate_rt_full,"[24, 40, 7, 3, 3]","[48, 79, 9, 3, 3]",307152,64873,0.2112081314788769,4.734666193948176,6,0.12296327031618733,1.6027445115651964,0.12361946982019069,1.00316489663822,0.12168162172202586,0.2359056754665553,0.11693271986390691,37.21547751910364,37.09567192747125,0.9967807589847291,0.0031457184255133937,0.0070817903427085205,2.251247373341352,1207.4883472283739,19974.80833160258,16.54244397260814,129530.03755974007,161303.6634442071,1.245299287200568,0.30618892508143325,25500.0,2289.4736842105262,3052.6315789473683,1.3333333333333333,0.10428387248007501,32031,28818,3213,0.10030907558302894,2.025319222003684,2.2511277673676173,0.3204072107292909,False,4.569696021591594,3.1331205826148514,0.643659978117289
K3_T2-4,3,eulerian,A_common_dense,aggressive_temporal,"[2, 2, 2, 1, 3]","[14, 7, 5, 3, 3]",4410,88,0.019954648526077097,50.11363636363637,0,0.4000532832318442,2.7813837701665314,0.31730793842486993,2.4909437130188667,0.7324644364235959,0.8298755061684305,0.4783175683017397,20.79956247368479,22.851849549801468,1.0986697233998644,0.0036160549322764076,0.0007840162041239011,0.21681534678189773,240365.2997352183,41101.891749421826,0.17099760986589524,243246.90766632557,41194.27546403979,0.16935169231646768,1.0,3439.827026508625,3815.7894736842104,0.0,0.0,,,,,,,,,,,,
K3_T2-4,3,eulerian,A_common_dense,compact_temporal,"[4, 2, 3, 2, 3]","[14, 7, 5, 3, 3]",4410,244,0.055328798185941046,18.07377049180328,0,0.11774255461099467,0.6499280557213001,0.07414558670307556,0.8431112126606897,0.2479176771423294,0.3660739542812043,0.21099502555368815,20.79956247368479,20.945650782738852,1.0070236241381947,0.0036160549322764076,0.0034808892544414913,0.9626206790642349,240365.2997352183,255151.3299216122,1.061514828482655,243246.90766632557,255151.3299216122,1.0489396653363279,1.0,0.0,3815.7894736842104,3815.7894736842104,1.0,,,,,,,,,,,,
K3_T2-4,3,eulerian,A_common_dense,moderate_temporal,"[7, 4, 4, 3, 3]","[14, 7, 5, 3, 3]",4410,1172,0.2657596371882086,3.762798634812287,0,0.010687896294847624,0.053861167421127475,0.006144630661496761,0.06518733479978987,0.01916839958949434,0.057371766941972005,0.03306751898192379,20.79956247368479,20.846840566250485,1.0022730330325702,0.0036160549322764076,0.0034770945115493584,0.9615712638968209,240365.2997352183,237973.2361138517,0.9900482156783793,243246.90766632557,240260.575506953,0.9877230416286769,1.0,1500.0,3815.7894736842104,3815.7894736842104,1.0,,,,,,,,,,,,
K3_T2-4,3,eulerian,A_common_dense,compact_rt_full,"[4, 2, 3, 3, 3]","[14, 7, 5, 3, 3]",4410,319,0.07233560090702948,13.824451410658307,0,0.09044479456211034,0.4736159481737536,0.054031414769906375,0.6833730160774052,0.2009465041189545,0.2375955519946649,0.13694358469995885,20.79956247368479,20.586457053691927,0.9897543315989228,0.0036160549322764076,0.002912903127608753,0.8055472558252867,240365.2997352183,251395.9922993946,1.0458913685807707,243246.90766632557,251395.9922993946,1.033501287688506,1.0,3354.1019662496847,3815.7894736842104,3815.7894736842104,1.0,,,,,,,,,,,,
K3_T2-4,3,eulerian,A_common_dense,moderate_rt_full,"[7, 4, 4, 3, 3]","[14, 7, 5, 3, 3]",4410,1172,0.2657596371882086,3.762798634812287,0,0.010687896294847624,0.053861167421127475,0.006144630661496761,0.06518733479978987,0.01916839958949434,0.057371766941972005,0.03306751898192379,20.79956247368479,20.846840566250485,1.0022730330325702,0.0036160549322764076,0.0034770945115493584,0.9615712638968209,240365.2997352183,237973.2361138517,0.9900482156783793,243246.90766632557,240260.575506953,0.9877230416286769,1.0,1500.0,3815.7894736842104,3815.7894736842104,1.0,,,,,,,,,,,,
K3_T2-4,3,eulerian,B_structured_missing,aggressive_temporal,"[6, 10, 3, 1, 3]","[45, 80, 9, 3, 3]",291600,1649,0.0056550068587105625,176.83444511825348,6,0.23758492783253113,2.2167492993676623,0.17502454557695668,2.65078717319569,0.3336952562350266,0.9466956262282764,0.47925159319129784,37.29520024552826,33.60130037776828,0.9009550868894215,0.0036099056005477904,0.003184622121411472,0.8821898613992057,504795.2927453443,265751.78185429296,0.5264545562796237,540440.2800584211,306457.93429266335,0.5670523563853078,0.6182965299684543,8395.932929144474,4578.9473684210525,4578.9473684210525,1.0,0.14455761316872429,42153,37929,4224,0.100206391004199,0.039119398382084315,0.04347596825647921,0.21410458240796076,False,2.2762134979502564,2.6457206622969003,0.9142864378184581
K3_T2-4,3,eulerian,B_structured_missing,compact_temporal,"[12, 20, 5, 2, 3]","[45, 80, 9, 3, 3]",291600,9400,0.03223593964334705,31.02127659574468,6,0.09734927279521634,0.9215818852669765,0.07276395699180732,0.9673207330969922,0.12177150363343227,0.608420636432938,0.30800454894109625,37.29520024552826,36.8508820123822,0.9880864499930033,0.0036099056005477904,0.004130046143489486,1.1440870206862934,504795.2927453443,497177.88278580114,0.9849099029467655,540440.2800584211,537446.0358722515,0.994459620615536,0.6182965299684543,1500.0,4578.9473684210525,4578.9473684210525,1.0,0.14455761316872429,42153,37929,4224,0.100206391004199,0.22299717695063223,0.24783147459727387,0.10540454476129972,False,1.201657833695569,1.1521416039669863,0.6191991095789761
K3_T2-4,3,eulerian,B_structured_missing,moderate_temporal,"[23, 40, 7, 3, 3]","[45, 80, 9, 3, 3]",291600,62276,0.21356652949245541,4.6823816558545825,6,0.13243146883608933,1.7570352801325273,0.13872759610462,0.9292752496464198,0.1169821348463037,0.1942290144015715,0.09832575752650961,37.29520024552826,37.931952774175684,1.0170733103577791,0.0036099056005477904,0.007877816322031527,2.1822776531430894,504795.2927453443,498747.4549210186,0.9880192269792487,540440.2800584211,537460.7000880335,0.9944867544475672,0.6182965299684543,5619.576486639956,4578.9473684210525,4578.9473684210525,1.0,0.14455761316872429,42153,37929,4224,0.100206391004199,1.4773800204018694,1.6419098842574285,0.3400368211438561,False,4.96152415379558,2.8146164836074057,0.5422147348616718
